exp_id,optimizer,lr,dropout,batchnorm,weight_decay,epochs_ran,best_val_acc,best_val_loss
E3,adam,0.001,0.0,True,0.0,6,0.986046511627907,0.15963324017302935
E4,adam,0.001,0.3,False,0.0,20,0.986046511627907,0.09388221207746239
O3,sgd,0.1,0.0,False,0.0001,6,0.9627906976744186,0.14788769019204517
E1,adam,0.001,0.0,False,0.0,6,0.9441860465116279,0.3400332929090012
E2,adam,0.001,0.3,False,0.0,6,0.9302325581395349,0.41724306594493776
O1,adam,0.1,0.0,False,0.0,6,0.6372093023255814,0.8354756651922713
O2,adam,1e-05,0.0,False,0.0,6,0.10697674418604651,2.3005178385002667
